problem_id,implementation,measurement,trial,N,h,runtime_s,peak_rss_mib
coupled_linear_d10_alpha0.8_t20,Julia,baseline,1,0,0.0,0.0,526.390625
coupled_linear_d10_alpha0.8_t20,Julia,baseline,2,0,0.0,0.0,527.8125
coupled_linear_d10_alpha0.8_t20,Julia,baseline,3,0,0.0,0.0,525.109375
coupled_linear_d10_alpha0.8_t20,Julia,baseline,4,0,0.0,0.0,526.875
coupled_linear_d10_alpha0.8_t20,Julia,baseline,5,0,0.0,0.0,524.890625
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,320,0.0625,0.000794792,536.71875
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,320,0.0625,0.000859042,522.03125
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,320,0.0625,0.000786125,541.4375
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,320,0.0625,0.000863791,536.171875
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,320,0.0625,0.000849792,540.859375
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,640,0.03125,0.001677125,540.453125
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,640,0.03125,0.001700291,539.078125
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,640,0.03125,0.001720833,539.0625
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,640,0.03125,0.001686125,537.515625
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,640,0.03125,0.001710625,539.0625
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,1280,0.015625,0.00354275,548.0
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,1280,0.015625,0.003657083,547.9375
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,1280,0.015625,0.003573792,542.25
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,1280,0.015625,0.004043625,543.328125
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,1280,0.015625,0.004049417,540.390625
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,2560,0.0078125,0.008191916,542.640625
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,2560,0.0078125,0.007921208,557.34375
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,2560,0.0078125,0.008576833,557.796875
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,2560,0.0078125,0.007706417,559.03125
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,2560,0.0078125,0.007698792,558.265625
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,5120,0.00390625,0.017747583,588.78125
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,5120,0.00390625,0.018002208,588.9375
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,5120,0.00390625,0.017891125,586.328125
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,5120,0.00390625,0.017851458,586.5
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,5120,0.00390625,0.019666042,591.359375
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,10240,0.001953125,0.158502917,605.171875
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,10240,0.001953125,0.156228417,603.578125
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,10240,0.001953125,0.155678041,605.9375
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,10240,0.001953125,0.15598225,606.515625
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,10240,0.001953125,0.15415775,602.875
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,20480,0.0009765625,0.212431833,682.625
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,20480,0.0009765625,0.210425208,666.828125
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,20480,0.0009765625,0.212304583,678.65625
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,20480,0.0009765625,0.215667208,681.578125
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,20480,0.0009765625,0.219236125,682.203125
coupled_linear_d10_alpha0.8_t20,Julia,solve,1,40960,0.00048828125,0.345719917,757.609375
coupled_linear_d10_alpha0.8_t20,Julia,solve,2,40960,0.00048828125,0.34291425,755.546875
coupled_linear_d10_alpha0.8_t20,Julia,solve,3,40960,0.00048828125,0.353013916,755.921875
coupled_linear_d10_alpha0.8_t20,Julia,solve,4,40960,0.00048828125,0.351767,758.765625
coupled_linear_d10_alpha0.8_t20,Julia,solve,5,40960,0.00048828125,0.341571792,755.609375
coupled_linear_d10_alpha0.8_t20,MATLAB,baseline,1,0,0.0,0.0,573.609375
coupled_linear_d10_alpha0.8_t20,MATLAB,baseline,2,0,0.0,0.0,573.171875
coupled_linear_d10_alpha0.8_t20,MATLAB,baseline,3,0,0.0,0.0,515.375
coupled_linear_d10_alpha0.8_t20,MATLAB,baseline,4,0,0.0,0.0,572.984375
coupled_linear_d10_alpha0.8_t20,MATLAB,baseline,5,0,0.0,0.0,573.65625
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,320,0.0625,0.05518495833333333,599.34375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,320,0.0625,0.038022958333333336,602.859375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,320,0.0625,0.039919416666666666,603.921875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,320,0.0625,0.041068458333333335,591.46875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,320,0.0625,0.03622475,552.390625
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,640,0.03125,0.060522708333333335,603.5
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,640,0.03125,0.05529425,607.34375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,640,0.03125,0.053245958333333336,605.484375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,640,0.03125,0.048922041666666666,576.671875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,640,0.03125,0.05621025,605.453125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,1280,0.015625,0.075208375,615.953125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,1280,0.015625,0.07852616666666666,614.109375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,1280,0.015625,0.07664879166666666,616.609375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,1280,0.015625,0.080324375,617.46875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,1280,0.015625,0.07713483333333333,570.3125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,2560,0.0078125,0.11218704166666667,616.28125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,2560,0.0078125,0.11047308333333333,616.609375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,2560,0.0078125,0.11165491666666667,620.6875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,2560,0.0078125,0.11210908333333333,620.296875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,2560,0.0078125,0.11646375,558.328125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,5120,0.00390625,0.15770466666666666,620.390625
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,5120,0.00390625,0.16119733333333333,631.53125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,5120,0.00390625,0.148399375,625.203125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,5120,0.00390625,0.158460125,628.78125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,5120,0.00390625,0.16615745833333334,631.5
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,10240,0.001953125,0.24684558333333334,575.5
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,10240,0.001953125,0.236323125,593.0
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,10240,0.001953125,0.25839208333333336,643.59375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,10240,0.001953125,0.23967675,641.46875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,10240,0.001953125,0.24077520833333332,638.4375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,20480,0.0009765625,0.4209962916666667,674.28125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,20480,0.0009765625,0.4066875833333333,676.984375
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,20480,0.0009765625,0.3889935,621.703125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,20480,0.0009765625,0.42430825,667.453125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,20480,0.0009765625,0.40904854166666665,679.125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,1,40960,0.00048828125,0.7540594583333333,744.046875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,2,40960,0.00048828125,0.743579,743.53125
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,3,40960,0.00048828125,0.7421620833333333,746.640625
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,4,40960,0.00048828125,0.741326,681.671875
coupled_linear_d10_alpha0.8_t20,MATLAB,solve,5,40960,0.00048828125,0.75169575,685.046875
coupled_linear_d10_alpha0.8_t20,Python,baseline,1,0,0.0,0.0,58.296875
coupled_linear_d10_alpha0.8_t20,Python,baseline,2,0,0.0,0.0,58.71875
coupled_linear_d10_alpha0.8_t20,Python,baseline,3,0,0.0,0.0,58.859375
coupled_linear_d10_alpha0.8_t20,Python,baseline,4,0,0.0,0.0,58.390625
coupled_linear_d10_alpha0.8_t20,Python,baseline,5,0,0.0,0.0,58.28125
coupled_linear_d10_alpha0.8_t20,Python,solve,1,320,0.0625,0.02251304197125137,59.0
coupled_linear_d10_alpha0.8_t20,Python,solve,2,320,0.0625,0.022059999988414347,58.90625
coupled_linear_d10_alpha0.8_t20,Python,solve,3,320,0.0625,0.022314540983643383,57.625
coupled_linear_d10_alpha0.8_t20,Python,solve,4,320,0.0625,0.022566750005353242,59.0625
coupled_linear_d10_alpha0.8_t20,Python,solve,5,320,0.0625,0.02215612499276176,58.59375
coupled_linear_d10_alpha0.8_t20,Python,solve,1,640,0.03125,0.07023533299798146,59.25
coupled_linear_d10_alpha0.8_t20,Python,solve,2,640,0.03125,0.07049045799067244,59.125
coupled_linear_d10_alpha0.8_t20,Python,solve,3,640,0.03125,0.07089658302720636,59.0625
