implementation,measurement,experiment,trial,dimension,final_time,N,h,runtime_s,peak_rss_mib
Julia,baseline,baseline,1,0,0.0,0,0.0,0.0,541.0
Julia,baseline,baseline,2,0,0.0,0,0.0,0.0,543.328125
Julia,baseline,baseline,3,0,0.0,0,0.0,0.0,542.046875
Julia,baseline,baseline,4,0,0.0,0,0.0,0.0,540.640625
Julia,baseline,baseline,5,0,0.0,0,0.0,0.0,541.15625
Julia,solve,dimension,1,5,20.0,5120,0.00390625,0.01089725,554.390625
Julia,solve,dimension,2,5,20.0,5120,0.00390625,0.010233667,553.265625
Julia,solve,dimension,3,5,20.0,5120,0.00390625,0.010236417,572.828125
Julia,solve,dimension,4,5,20.0,5120,0.00390625,0.009968959,573.15625
Julia,solve,dimension,5,5,20.0,5120,0.00390625,0.009751959,572.609375
Julia,solve,dimension,1,10,20.0,5120,0.00390625,0.017751125,588.078125
Julia,solve,dimension,2,10,20.0,5120,0.00390625,0.020273625,590.296875
Julia,solve,dimension,3,10,20.0,5120,0.00390625,0.0180895,590.984375
Julia,solve,dimension,4,10,20.0,5120,0.00390625,0.019982959,589.78125
Julia,solve,dimension,5,10,20.0,5120,0.00390625,0.0186245,590.296875
Julia,solve,dimension,1,15,20.0,5120,0.00390625,0.024801959,602.96875
Julia,solve,dimension,2,15,20.0,5120,0.00390625,0.026263166,598.421875
Julia,solve,dimension,3,15,20.0,5120,0.00390625,0.025455708,601.84375
Julia,solve,dimension,4,15,20.0,5120,0.00390625,0.025424209,605.25
Julia,solve,dimension,5,15,20.0,5120,0.00390625,0.023738292,600.8125
Julia,solve,dimension,1,20,20.0,5120,0.00390625,0.033238625,617.640625
Julia,solve,dimension,2,20,20.0,5120,0.00390625,0.0452675,615.296875
Julia,solve,dimension,3,20,20.0,5120,0.00390625,0.033369584,614.453125
Julia,solve,dimension,4,20,20.0,5120,0.00390625,0.032986791,615.875
Julia,solve,dimension,5,20,20.0,5120,0.00390625,0.034316166,614.90625
Julia,solve,dimension,1,25,20.0,5120,0.00390625,0.05113975,647.1875
Julia,solve,dimension,2,25,20.0,5120,0.00390625,0.048571666,642.828125
Julia,solve,dimension,3,25,20.0,5120,0.00390625,0.049345125,643.234375
Julia,solve,dimension,4,25,20.0,5120,0.00390625,0.049881041,644.53125
Julia,solve,dimension,5,25,20.0,5120,0.00390625,0.051997917,636.421875
Julia,solve,dimension,1,30,20.0,5120,0.00390625,0.1663035,651.734375
Julia,solve,dimension,2,30,20.0,5120,0.00390625,0.173836166,651.25
Julia,solve,dimension,3,30,20.0,5120,0.00390625,0.164527208,651.765625
Julia,solve,dimension,4,30,20.0,5120,0.00390625,0.174153084,651.65625
Julia,solve,dimension,5,30,20.0,5120,0.00390625,0.168448417,654.359375
Julia,solve,dimension,1,35,20.0,5120,0.00390625,0.173417708,655.484375
Julia,solve,dimension,2,35,20.0,5120,0.00390625,0.167660708,667.875
Julia,solve,dimension,3,35,20.0,5120,0.00390625,0.174554083,665.65625
Julia,solve,dimension,4,35,20.0,5120,0.00390625,0.171693375,669.4375
Julia,solve,dimension,5,35,20.0,5120,0.00390625,0.169342542,668.78125
